productHandle,productName,option1,choice1,option2,choice2,option3,choice3,option4,choice4,option5,choice5,option6,choice6,sku,barcode,locationName,inventoryCurrent,inventoryNew
Product_45e63125-0205-4544-95fd-63dcab4bab88,Diffuseur - Lavender & Rosemary,,,,,,,,,,,,,,,Default Online Stores Location,4,
Product_c6e525ea-8d35-4209-b6ce-e2010ca5e8a4,Diffuseur - Palo Santo & Patchouli,,,,,,,,,,,,,,,Default Online Stores Location,4,
Product_5729b8f1-82e0-4ae6-b8de-7f5d686e8dd6,Diffuseur - Pink Prosecco & Rose,,,,,,,,,,,,,,,Default Online Stores Location,4,
Product_e00d9152-345d-4b02-9921-542f868d111b,Elastic Base - Clear,,,,,,,,,,,,,,5600920745200,Default Online Stores Location,3,
Product_29d67b44-f1d6-4688-8cdd-8200b5642ec1,Elastic Base - Cover Beige,,,,,,,,,,,,,,,Default Online Stores Location,Out of Stock,
Product_435af470-3e91-4bea-b545-4026e333a955,Elastic Base - Milky Pink,,,,,,,,,,,,,,,Default Online Stores Location,0,
Product_20f922bc-e39b-4e04-843c-199224fbad63,Elastic Base - Milky White,,,,,,,,,,,,,,5600920723116,Default Online Stores Location,3,
Product_84db3e0f-b57b-4b06-b82a-25e24e1d938e,Elastic Base - Nude,,,,,,,,,,,,,,5600920734907,Default Online Stores Location,3,
Product_1c40eb7f-53c4-40c0-bd11-14219af5f777,Elastic Base - Pink Bloom,,,,,,,,,,,,,,,Default Online Stores Location,Out of Stock,
Product_97f3823c-3ea5-4e93-967d-86f6e0811db2,Elastic Base - Soft Latte,,,,,,,,,,,,,,,Default Online Stores Location,Out of Stock,
Product_85c01702-3bbf-446e-88e3-d0b25a1680c9,Fiber Base - Clear,,,,,,,,,,,,,,,Default Online Stores Location,Out of Stock,
Product_bda613b5-45e9-493e-b389-cef043ee4f49,Fiber Base - Milky Beige,,,,,,,,,,,,,,5600920734921,Default Online Stores Location,3,
Product_ad0e156b-0075-4257-b374-9ab1e14e4e33,Fiber Base - Milky White,,,,,,,,,,,,,,5600920738356,Default Online Stores Location,3,
Product_541a2e89-91b6-49e6-a59c-6d79fe730de4,Fiber Base - Nude Pink Shimmer,,,,,,,,,,,,,,5600920738349,Default Online Stores Location,3,
Product_25af0c67-49c1-44b4-b4bc-e0f913eea09c,Framework Gel - Atlantic Dawn,,,,,,,,,,,,,,0102121500244,Default Online Stores Location,2,
Product_bcdcd599-8bf0-4b6f-8c06-1ecff15cf0c6,Framework Gel - Atlantic Shade,,,,,,,,,,,,,,0102121500190,Default Online Stores Location,2,
Product_473c4cff-3834-45e4-88fc-962af000a27d,Framework Gel - Boston Fog,,,,,,,,,,,,,,0102121500251,Default Online Stores Location,2,
Product_c88bb46e-73ab-4b55-95d0-7218c2c1c395,Framework Gel - Venice Glow,,,,,,,,,,,,,,102121500282,Default Online Stores Location,2,
Product_c3186973-b489-4303-ae30-1912ae0f1542,Gel de construction - 07,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_e6c4536c-78d7-4eda-b166-9be712253c9f,Gel de construction - 10,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_156c9509-50ea-4c4e-b6b4-5003a601bd6f,Gel sans HEMA - Fast 08,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_ce6bf8e3-0e6e-4267-8040-83887db0ae5a,Gel sans HEMA - Fast 09,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_59746d47-b5b4-4f35-a258-627b114bbd26,Gel sans HEMA - Fast 11,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_ae89134c-4b52-42c2-b177-739907b60967,Jelly Gel - J1,,,,,,,,,,,,,,4687206870260,Default Online Stores Location,2,
Product_6140f1ac-0e7c-4676-8019-bf7534b238d2,Jelly Gel - J3,,,,,,,,,,,,,,4687206870307,Default Online Stores Location,2,
Product_685e0f9b-201b-4575-9dd2-fce6601dff57,Jelly Gel - J5,,,,,,,,,,,,,,4687206870345,Default Online Stores Location,2,
Product_1696df81-dfd8-4754-beed-3b94392cf58f,Liquid Gel - Baby Pink,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_f72b5ce9-cd8a-42ad-9627-8559ba978661,Liquid Gel - Chandon (bientôt Pampa),,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_34f66738-262f-4801-91bd-8ddbe4e356dc,Liquid Gel - Coconut Milk,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_70c8a366-2435-4422-b9e4-c12283fc1222,Palo Santo,,,,,,,,,,,,,,,Default Online Stores Location,32,
Product_cf10844e-29ba-4c06-bab2-1bb545877bf7,Pierre roulée - Agate du Botswana,,,,,,,,,,,,,,,Default Online Stores Location,17,
Product_5e374518-a7a1-4f35-905b-49bc61d6911a,Pierre roulée - Amazonite du Brésil,,,,,,,,,,,,,,,Default Online Stores Location,11,
Product_55ab4b2d-c938-4536-8f90-64b264b0289b,Pierre roulée - Améthyste,,,,,,,,,,,,,,1946753214860,Default Online Stores Location,14,
Product_15d50188-9c1a-4caa-b554-340dcbd4be8c,Pierre roulée - Cornaline,,,,,,,,,,,,,,,Default Online Stores Location,7,
Product_fcaa0641-640a-45f9-b482-052ba21406be,Pierre roulée - Cristal de Roche,,,,,,,,,,,,,,,Default Online Stores Location,9,
Product_1252e539-7184-4152-96bf-0736ad846619,Pierre roulée - Labradorite,,,,,,,,,,,,,,,Default Online Stores Location,13,
Product_86f3e2aa-d4bc-4632-ad87-cbf626a63b67,Pierre roulée - Obsidienne Flocon de Neige,,,,,,,,,,,,,,,Default Online Stores Location,17,
Product_786b005e-5ffe-4ec3-9fe1-8d18ffc242aa,Pierre roulée - Pierre de Lune,,,,,,,,,,,,,,,Default Online Stores Location,8,
Product_0f588a04-99d9-45f7-b5e6-16986a7818d0,Pierre roulée - Pierre de Soleil,,,,,,,,,,,,,,,Default Online Stores Location,11,
Product_988dc02f-355d-4914-9799-a07bda3e890f,Pierre roulée - Pyrite,,,,,,,,,,,,,,,Default Online Stores Location,9,
Product_23588fad-e488-4945-801e-9ee111a3f76a,Pierre roulée - Péristérite,,,,,,,,,,,,,,,Default Online Stores Location,17,
Product_98ba82aa-594c-4094-904f-312c8be7017d,Pierre roulée - Quartz Rose du Brésil,,,,,,,,,,,,,,,Default Online Stores Location,33,
Product_8c500122-f764-4243-9189-633a86265f5d,Pierre roulée - Œil de Tigre,,,,,,,,,,,,,,,Default Online Stores Location,12,
Product_e33c1aa3-9f72-4a4d-9e89-e481c008db0a,Pince Cuticules CLASSIC 12 5 mm,,,,,,,,,,,,,,4820121594983,Default Online Stores Location,2,
Product_2a81a0fc-2af3-4b9c-b2a5-c43db1682857,Pince Cuticules SMART 10 3 mm,,,,,,,,,,,,,,4820121591692,Default Online Stores Location,2,
Product_fa2aa70c-a1b8-430e-89e4-5db3fa4da5cd,Pince Cuticules SMART 30 5 mm,,,,,,,,,,,,,,4820121591340,Default Online Stores Location,2,
Product_e8e37e31-5929-40eb-bc65-ef65b23b454c,Pinceau Double EXPERT liner 10 mm,,,,,,,,,,,,,,4823126603063,Default Online Stores Location,6,
Product_2f5beca0-89a3-42a8-a6bc-54ea6b49d954,Polygel Liquide - Blossom,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_59c9a5ee-bf68-4e30-9398-e553495e94e2,Polygel Liquide - Cream,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_28fb8d83-a20b-4fac-866f-ed9e29e38923,Polygel Liquide - Darling,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_a0cf6e43-0663-4c9d-9615-c4b730e0ec4d,Polygel Liquide - Douce Pivoine,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_060e72d2-bfd3-445d-baa1-3b4cd00751ed,Polygel Liquide - Elegant 2,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_ac89b271-9517-4203-8207-5bb5e998fc33,Polygel Liquide - Elegant 3,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_00550a7c-d5cd-4dec-9581-391c7b07dd85,Polygel Liquide - Elegant 5,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_45444baf-c37b-48df-b55c-63febf7b85fc,Polygel Liquide - Elegant 6,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_d9324908-9efc-4143-ba1b-1990de7ed63d,Polygel Liquide - Elegant 7,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_45c0b8b2-379d-4854-88d9-d7e415bfc824,Polygel Liquide - Ice Shine,,,,,,,,,,,,,,4687206380899,Default Online Stores Location,2,
Product_0e2a36e9-45dc-46e3-967d-f21b0cb14651,Polygel Liquide - Inhale,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_08be51bb-1d0f-416b-a078-9bb57435fb12,Polygel Liquide - Ivoire Lumière,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_0599c3a6-72e9-477d-b26a-f1bc999b449d,Polygel Liquide - Jaune Butter,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_d8019906-e88a-42e2-ac36-bf1724c1467a,Polygel Liquide - Lila Velouté,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_6cfeaa56-2a85-419c-9402-f0041c20cce9,Polygel Liquide - Old Money,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_ac84618a-edf8-4f59-abfd-f014f29642b3,Polygel Liquide - Pudra,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_6ba3ca81-f4f7-4dd2-b1b5-b1926cfdb001,Polygel Liquide - Pêche Satin,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_8d62a8b4-1968-4c1d-9e54-97098d62c7d9,Polygel Liquide - Silk,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_18f42127-a596-487b-9e3d-7f9dc26ad9ab,Polygel Liquide - Soft,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_1bba90ef-a496-41ce-ba50-14f6fd7dedb1,Polygel Liquide - Tea Rose,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_12cf5e25-72ee-4df9-8254-8eecaae61ce8,Polygel Liquide - Total Nude,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_b8f7f051-a956-406a-8763-49363b1bc811,Polygel Liquide - White Moon,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_2aa87787-8630-4223-a36e-0bdad8124044,Polygel Liquide - Élégance Rose,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_372f3b92-a612-46fe-bf99-c2b685d13f19,Polygel Liquide - Élégant 10,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_3db33c84-cf5e-47b8-8569-d76790b679ba,Polygel Liquide - Élégant 11,,,,,,,,,,,,,,4687206939011,Default Online Stores Location,3,
Product_ac2dfbdb-7ec7-4e51-92a9-422fb0af5574,Porte encens en bois,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_61339ee9-7d68-4f7f-b3df-4c678ed5481e,Prime Gel - 12,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_4c6e71ac-044e-4483-9415-be9ed3f21aec,Prime Gel - 2,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_9d1d8684-8cff-4f2d-8f0c-4fa9a9b2083f,Prime Gel - 4,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_abd6df1e-cc09-4ff3-a966-395a36a37277,Prime Gel - 6,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_a692779a-8359-48b7-a7c6-5c65b74e5988,Prime Gel - 7,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_88ed5872-f9c5-4d71-878c-aefe830859a0,Prime Gel - 9,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_7f113b84-b458-4fb8-8078-9cac3369ba1f,Préparation - Nail Fresher (Stabilisateur de pH),,,,,,,,,,,,,,,Default Online Stores Location,4,
Product_52636e32-4e5d-4058-9e9c-7693cf7cab3e,Recharges Limes PapMam Grain 150 EXPERT 20 (25 Pcs),,,,,,,,,,,,,,4820241066896,Default Online Stores Location,3,
Product_d9a86bb1-0da9-4112-80d8-729116fb23f7,Recharges Limes PapMam Grain 180 EXPERT 20 (25 Pcs),,,,,,,,,,,,,,4820241066902,Default Online Stores Location,3,
Product_ea8b5c8c-cf24-423c-b7da-51322bedc952,Recharges Limes PapMam Grain 240 EXCLUSIVE 20 (30 Pcs),,,,,,,,,,,,,,4820241062102,Default Online Stores Location,3,
Product_9003017f-dcbb-43b1-b377-ca20ea674c92,Repousse Cuticules UNIQ 11 TYPE 2 JAUNE,,,,,,,,,,,,,,4823126605951,Default Online Stores Location,9,
Product_e2a39d77-cc58-4109-b858-43f2e5a8fb46,Repousse cuticules ,,,,,,,,,,,,,,4823126605906,Default Online Stores Location,3,
Product_d40fcfaf-e32b-458c-8efe-91ea5b5c71f3,Rubber Base - Clean Girl,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_0412b8f5-de6b-4582-9a10-b334827f0b00,Rubber Base - Glow Girl,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_6261dbb4-d8bc-4a7f-a71d-98958202e7bc,Rubber Base - Good Girl,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_60003482-684c-42bc-888e-be4e82cacfaf,Rubber Base - Urban Girl,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_87bcdd85-27f3-49cc-b482-0cffa9d0cae6,Sauge Blanche,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_569578dc-4d76-4f6a-9042-5ee0745a4bec,Sauge Blanche avec Cannelle,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_9cc8e69a-4035-4380-ab73-a6bc25a49c6c,Sauge Blanche avec Cèdre et Fleur de Paille,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_ea57d8f0-656b-4598-87b9-e2f52ac8e5f7,Sauge Blanche avec Lavande,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_498f9206-b6c3-423a-beb3-06739da2d6bf,Sculptural - Champagne,,,,,,,,,,,,,,4687202322213,Default Online Stores Location,3,
Product_0c64da51-fd60-42d4-bf59-3129fe002097,Sculptural - Cloud,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_1df4fb83-369b-46a2-841e-6a6f88618aaa,Sculptural - Ice Pink,,,,,,,,,,,,,,4687201725817,Default Online Stores Location,3,
Product_173bb42e-a4c5-4f88-9faa-cf5b89515669,Sculptural - Ivory,,,,,,,,,,,,,,4687201794530,Default Online Stores Location,3,
Product_89e41274-fd46-48e7-aa42-d422274ea8d7,Sculptural - Rose,,,,,,,,,,,,,,4627178821402,Default Online Stores Location,3,
Product_cf795176-c9e6-4f44-8a4f-ecd0b95044c3,Sculptural - Skin,,,,,,,,,,,,,,4627178821419,Default Online Stores Location,3,
Product_ad085539-c260-4113-a0ff-54ee8215e3fa,Secret Base - Milk,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_5b158b16-086f-47e3-bb9e-dfe9bac1548e,Spray d'ambiance - Believe in Miracles,,,,,,,,,,,,,,,Default Online Stores Location,4,
Product_c0beb717-81c2-42e6-95dd-658d1c08e33c,Spray d'ambiance - Chase your Dreams,,,,,,,,,,,,,,,Default Online Stores Location,4,
Product_2dc88bd2-8f54-4c90-93fe-9bdb7c6f924f,Spray d'ambiance - Seek your Truth,,,,,,,,,,,,,,,Default Online Stores Location,4,
Product_a6f48261-16bf-4ccd-8314-06ff075170ef,Top Coat - Light Nude,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_5cf22793-8b97-4af5-96fb-77fac6d00db2,Top Coat - Milkshake,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_20b19597-6027-4177-b208-657f389b748f,Top Coat - Naked,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_5f52e0cf-9adc-4dda-99c8-483a3010f3a3,Top Coat - No UV Filter,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_016f7b1b-230b-4dab-a3cd-7c4975e5dec3,Top Coat - No Wipe,,,,,,,,,,,,,,,Default Online Stores Location,4,
Product_7a949d1b-5411-42f2-b8aa-f3ca5965295f,Top Coat - No Wipe UV Filter,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_2e2c97f6-441b-49f6-9363-def724dae93f,Top Coat - Prizma,,,,,,,,,,,,,,4687205915351,Default Online Stores Location,4,
Product_8f443a6f-79ec-4524-ae91-ed0ec2ecae95,Top Coat - Shine,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_9a4a6807-d512-47d9-9aeb-774cd7af22b6,Top Coat - UV Filter,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_ee639265-b711-49d3-92f7-7c70a6082d44,Top Coat - Velvet Mat,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_b272afcb-e436-4b2f-813d-c16acd99bd90,Top Coat - Wipe Less,,,,,,,,,,,,,,0102121200045,Default Online Stores Location,2,
Product_31154bb1-af24-49d7-9279-f00fd49585fc,Vernis semi permanent - 16,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_17c47200-80de-4c1c-952d-1d8a6f50fd03,Vernis semi permanent - 17,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_4562cd39-acbf-469e-acae-0d5d2c310347,Vernis semi permanent - 25,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_6ec4fabc-7cbc-44e0-99c7-7af9e654bcea,Vernis semi permanent - 28,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_bc19f438-b15e-44ef-a805-c9e43e5de3a9,Vernis semi permanent - 303,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_83009eb4-e695-4869-bff9-9d06fdf5e41a,Vernis semi permanent - 319,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_a9c2f163-52c8-42e7-b982-b6c1e3dc52b5,Vernis semi permanent - 368,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_2bb6f81c-0868-4563-924e-fe1b632bdd5b,Vernis semi permanent - Burgundy 1,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_4d1f7bf9-00ce-4eb0-8eeb-0574eadb141b,Vernis semi permanent - Silk Cat n°14,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_df511f59-981e-49c4-bb3b-87f6c8e037c2,Vernis semi permanent - Silk Cat n°16,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_550a8a8d-ca11-48d0-a2c0-d66c1a71a493,Vernis semi permanent - Silk Cat n°18,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_f174e215-47a0-4a11-b8e9-3c1633ac21c2,Vernis semi permanent - Silk Cat n°21,,,,,,,,,,,,,,4687207611923,Default Online Stores Location,3,
